ubicacionid,criticidadid,nodoid,nodo,tipoid,tipo,metricaid,minimo,maximo,umbral
49,2,14,rs485-ls-14,1,Sensor Maceta 10cm,2,35,42,U.N.14-SM10CM-Humd.
49,2,14,rs485-ls-14,3,Sensor Maceta 30cm,2,33,40,U.N.14-SM30CM-Humd.
36,2,63,rs485-ls-63,1,Sensor Maceta 10cm,2,35,42,U.N.63-SM10CM-Humd.
36,2,63,rs485-ls-63,3,Sensor Maceta 30cm,2,33,40,U.N.63-SM30CM-Humd.
48,2,19,rs485-ls-19,1,Sensor Maceta 10cm,2,35,42,U.N.19-SM10CM-Humd.
48,2,19,rs485-ls-19,3,Sensor Maceta 30cm,2,33,40,U.N.19-SM30CM-Humd.
43,2,9,rs485-ls-9,1,Sensor Maceta 10cm,2,35,42,U.N.9-SM10CM-Humd.
43,2,9,rs485-ls-9,3,Sensor Maceta 30cm,2,33,40,U.N.9-SM30CM-Humd.
44,2,10,rs485-ls-10,1,Sensor Maceta 10cm,2,35,42,U.N.10-SM10CM-Humd.
44,2,10,rs485-ls-10,3,Sensor Maceta 30cm,2,33,40,U.N.10-SM30CM-Humd.
41,2,3,rs485-ls-3,1,Sensor Maceta 10cm,2,35,42,U.N.3-SM10CM-Humd.
41,2,3,rs485-ls-3,3,Sensor Maceta 30cm,2,33,40,U.N.3-SM30CM-Humd.
29,2,36,rs485-ls-36,1,Sensor Maceta 10cm,2,35,42,U.N.36-SM10CM-Humd.
29,2,36,rs485-ls-36,3,Sensor Maceta 30cm,2,33,40,U.N.36-SM30CM-Humd.
39,2,4,rs485-ls-4,1,Sensor Maceta 10cm,2,35,42,U.N.4-SM10CM-Humd.
39,2,4,rs485-ls-4,3,Sensor Maceta 30cm,2,33,40,U.N.4-SM30CM-Humd.
40,2,5,rs485-ls-6,1,Sensor Maceta 10cm,2,35,42,U.N.6-SM10CM-Humd.
40,2,5,rs485-ls-6,2,Sensor Maceta 20cm,2,33,40,U.N.6-SM20CM-Humd.
40,2,5,rs485-ls-6,3,Sensor Maceta 30cm,2,33,40,U.N.6-SM30CM-Humd.
